existingsiteidentified,proposedleasedfacility,forecastcapacity,district,school,projectnum,description,location,latitude,longitude,actualestcompl,fy,designstart,constrstart,totalestcost,previousappropriations,fundingreqd,neededtocomplete,source,inprev,cd,borough,csd,geom_source,geom
Yes,Yes,126,29,PRE-K CENTER @ 168-42 JAMAICA AVENUE,DSF0000800116,pre-k capacity projects,168-42 JAMAICA AVENUE,40.706716,-73.791302,15-Jun,2015,14-Jun,14-Dec,18.22,0,18.22,0,sca_cp_prek_schools_FY2015-19,Y,412,Queens,29,SCA,0101000020E61000009AD024B1A47252C0ACC77DAB755A4440
Yes,No,180,15,PRE-K CENTER @ 168 8TH STREET,DSF0000821899,pre-k capacity projects,168 8TH STREET,40.671728,-73.989838,22-Apr,2022,17-Dec,19-Jul,35.84,5,30.85,0,sca_cp_prek_schools_FY2020-24,Y,306,Brooklyn,15,SCA,0101000020E6100000A3957B81597F52C05CE7DF2EFB554440
Yes,Yes,108,15,PRE-K CENTER @ 173 25TH STREET,DSF0000821928,pre-k capacity projects,173 25TH STREET,40.661059,-73.998973,15-Aug,2016,15-Mar,15-May,8.78,0,8.78,0,sca_cp_prek_schools_FY2015-19,Y,307,Brooklyn,15,SCA,0101000020E61000009225732CEF7F52C0FDDCD0949D544440
Yes,Yes,144,31,PRE-K CENTER @ 1 TELEPORT DRIVE,DSF0000800328,pre-k capacity projects,1 TELEPORT DRIVE,40.604274,-74.178469,15-Sep,2016,14-Aug,14-Dec,15.45,0,15.45,0,sca_cp_prek_schools_FY2015-19,Y,502,Staten Island,31,SCA,0101000020E610000064963D096C8B52C05BE9B5D9584D4440
Yes,Yes,90,20,PRE-K CENTER @ 2165 71ST STREET,DSF0000821713,pre-k capacity projects,2165 71ST STREET,40.610983,-73.985835,16-Aug,2017,14-Dec,15-May,21.12,0,21.12,0,sca_cp_prek_schools_FY2015-19,Y,311,Brooklyn,20,SCA,0101000020E61000002310AFEB177F52C0BBB4E1B0344E4440
Yes,Yes,72,15,PRE-K CENTER @ 219 25TH STREET,DSF0000822214,pre-k capacity projects,219 25TH STREET,40.659882,-73.997016,17-Sep,2018,15-Jul,16-Apr,12.05,0,12.05,0,sca_cp_prek_schools_FY2015-19,Y,307,Brooklyn,15,SCA,0101000020E6100000AE65321CCF7F52C00B9C6C0377544440
Yes,Yes,234,20,PRE-K CENTER @ 21 BAY 11TH STREET,DSF0000822014,pre-k capacity projects,21 BAY 11TH STREET ,40.609976,-74.008608,15-Sep,2016,15-Jan,15-Aug,0.22,0,0.22,0,sca_cp_prek_schools_FY2015-19,Y,311,Brooklyn,20,SCA,0101000020E6100000F99E91088D8052C026AC8DB1134E4440
Yes,Yes,54,20,PRE-K CENTER @ 21 BAY 11TH STREET,DSF0000822082,pre-k capacity projects,21 BAY 11TH STREET ,40.609976,-74.008608,16-Sep,2017,15-Apr,16-Jan,11.78,0,11.78,0,sca_cp_prek_schools_FY2015-19,Y,311,Brooklyn,20,SCA,0101000020E6100000F99E91088D8052C026AC8DB1134E4440
Yes,Yes,108,21,PRE-K CENTER @ 2202 60TH STREET,DSF0000800230,pre-k capacity projects,2202 60TH STREET,40.616479,-73.978093,15-Jul,2016,14-Jun,15-Jan,5.3,0,5.3,0,sca_cp_prek_schools_FY2015-19,Y,312,Brooklyn,21,SCA,0101000020E610000094DC6113997E52C0DCD5ABC8E84E4440
Yes,Yes,198,10,PRE-K CENTER @ 2490-2500 WEBSTER AVENUE,DSF0000821875,pre-k capacity projects,2490-2500 WEBSTER AVENUE,40.860848,-73.892224,17-Sep,2018,15-Apr,16-Feb,16.29,0,16.29,0,sca_cp_prek_schools_FY2015-19,Y,206,Bronx,10,SCA,0101000020E6100000342DB1321A7952C0DB696B44306E4440
Yes,Yes,36,10,PRE-K CENTER @ 2510 MARION AVENUE,DSF0000822032,pre-k capacity projects,2510 MARION AVENUE,40.861286,-73.893258,16-Sep,2017,15-May,16-Mar,13.31,0,13.31,0,sca_cp_prek_schools_FY2015-19,Y,205,Bronx,10,SCA,0101000020E6100000FC389A232B7952C05740A19E3E6E4440
Yes,Yes,234,10,PRE-K CENTER @ 2510 MARION AVENUE,DSF0000822030,pre-k capacity projects,2510 MARION AVENUE,40.861286,-73.893258,15-Sep,2016,15-May,15-Jul,0.21,0,0.21,0,sca_cp_prek_schools_FY2015-19,Y,205,Bronx,10,SCA,0101000020E6100000FC389A232B7952C05740A19E3E6E4440
Yes,Yes,180,30,PRE-K CENTER @ 27-35 JACKSON AVENUE,DSF0000843935,pre-k capacity projects,27-35 JACKSON AVENUE,40.747962,-73.940046,17-Sep,2018,16-Jan,16-Dec,11.21,0,11.21,0,sca_cp_prek_schools_FY2015-19,Y,402,Queens,30,SCA,0101000020E610000014AFB2B6297C52C04C530438BD5F4440
Yes,No,36,2,PRE-K CENTER @ 2 LAFAYETTE STREET,DSF0000821653,pre-k capacity projects,2 LAFAYETTE STREET,40.713723,-74.003586,16-Aug,2017,14-Oct,15-Jul,8.76,0,8.76,0,sca_cp_prek_schools_FY2015-19,Y,101,Manhattan,2,SCA,0101000020E61000004D2EC6C03A8052C096B377465B5B4440
Yes,Yes,270,30,PRE-K CENTER @ 32-52 37TH STREET,DSF0000822015,pre-k capacity projects,32-52 37TH STREET,40.759308,-73.920948,15-Sep,2016,15-Apr,15-Aug,0.63,0,0.63,0,sca_cp_prek_schools_FY2015-19,Y,401,Queens,30,SCA,0101000020E61000004354E1CFF07A52C0ABCB290131614440
Yes,Yes,126,30,PRE-K CENTER @ 32-52 37TH STREET,DSF0000821858,pre-k capacity projects,32-52 37TH STREET,40.759308,-73.920948,17-Jul,2018,15-Apr,16-Jul,10.27,0,10.27,0,sca_cp_prek_schools_FY2015-19,Y,401,Queens,30,SCA,0101000020E61000004354E1CFF07A52C0ABCB290131614440
Yes,Yes,180,2,PRE-K CENTER @ 355 EAST 76 STREET,DSF0000866155,pre-k capacity projects,355 EAST 76 STREET,40.77086,-73.955204,19-Sep,2020,17-Apr,18-Mar,35.01,0,33.43,1.58,sca_cp_prek_schools_FY2015-19,Y,108,Manhattan,2,SCA,0101000020E61000008940F50F227D52C0B4E55C8AAB624440
Yes,Yes,90,10,PRE-K CENTER @ 3560 WEBSTER AVENUE,DSF0000821711,pre-k capacity projects,3560 WEBSTER AVENUE,40.88086,-73.870646,16-Sep,2017,14-Dec,15-Sep,8.04,0,8.04,0,sca_cp_prek_schools_FY2015-19,Y,212,Bronx,10,SCA,0101000020E61000002A1900AAB87752C0622D3E05C0704440
Yes,Yes,36,10,PRE-K CENTER @ 3605 SEDGWICK AVENUE,DSF0000821874,pre-k capacity projects,3605 SEDGWICK AVENUE,40.881542,-73.896483,16-Sep,2017,15-Apr,15-Dec,5.29,0,5.29,0,sca_cp_prek_schools_FY2015-19,Y,208,Bronx,10,SCA,0101000020E6100000E19A3BFA5F7952C07506465ED6704440
Yes,Yes,144,22,PRE-K CENTER @ 3610 GLENWOOD ROAD,DSF0000822024,pre-k capacity projects,3610 GLENWOOD ROAD,40.63436,-73.941795,15-Sep,2016,15-Mar,15-May,14.86,0,14.86,0,sca_cp_prek_schools_FY2015-19,Y,317,Brooklyn,22,SCA,0101000020E61000005322895E467C52C0FEF15EB532514440
Yes,No,252,20,PRE-K CENTER @ 369 93RD STREET,DSF0000821813,pre-k capacity projects,369 93RD STREET,40.618041,-74.031381,18-Sep,2019,15-Feb,16-Jun,43.52,0,43.52,0,sca_cp_prek_schools_FY2015-19,Y,310,Brooklyn,20,SCA,0101000020E6100000CF2D7425028252C0274BADF71B4F4440
Yes,Yes,126,21,PRE-K CENTER @ 385 AVENUE W,DSF0000822037,pre-k capacity projects,385 AVENUE W,40.592894,-73.968638,15-Sep,2016,15-Apr,15-May,3.96,0,3.96,0,sca_cp_prek_schools_FY2015-19,Y,315,Brooklyn,21,SCA,0101000020E61000006CEA3C2AFE7D52C050FF59F3E34B4440
Yes,Yes,144,24,PRE-K CENTER @ 44-15 JUDGE STREET,DSF0000800248,pre-k capacity projects,44-15 JUDGE STREET,40.742964,-73.877449,15-Jun,2015,14-Jun,14-Dec,6.05,0,6.05,0,sca_cp_prek_schools_FY2015-19,Y,404,Queens,24,SCA,0101000020E61000001BBAD91F287852C07C0DC171195F4440
Yes,Yes,108,24,PRE-K CENTER @ 46-16 76TH STREET,DSF0000800114,pre-k capacity projects,46-16 76TH STREET,40.740076,-73.888241,15-Aug,2016,14-Jun,14-Dec,15.86,0,15.86,0,sca_cp_prek_schools_FY2015-19,Y,404,Queens,24,SCA,0101000020E6100000D87DC7F0D87852C0FA4674CFBA5E4440
Yes,Yes,180,7,PRE-K CENTER @ 535 UNION AVENUE,DSF0000800055,pre-k capacity projects,535 UNION AVENUE,40.812067,-73.905569,15-Jul,2016,14-Jun,14-Dec,13.16,0,13.16,0,sca_cp_prek_schools_FY2015-19,Y,201,Bronx,7,SCA,0101000020E61000005FD1ADD7F47952C09694BBCFF1674440
Yes,Yes,54,10,PRE-K CENTER @ 5500 BROADWAY,DSF0000821828,pre-k capacity projects,5500 BROADWAY,40.877062,-73.906185,16-Sep,2017,15-Apr,16-Feb,5.87,0,5.87,0,sca_cp_prek_schools_FY2015-19,Y,208,Bronx,10,SCA,0101000020E61000000CC85EEFFE7952C03D484F9143704440
Yes,Yes,162,20,PRE-K CENTER @ 550 59TH STREET,DSF0000800304,pre-k capacity projects,550 59TH STREET,40.639386,-74.014449,16-Aug,2017,14-Jul,15-Dec,9.97,0,9.97,0,sca_cp_prek_schools_FY2015-19,Y,307,Brooklyn,20,SCA,0101000020E61000006F9D7FBBEC8052C098C28366D7514440
Yes,Yes,162,24,PRE-K CENTER @ 56-01 61ST STREET,DSF0000822111,pre-k capacity projects,56-01 61ST STREET,40.724967,-73.904289,15-Sep,2016,15-May,15-Jul,7.25,0,7.25,0,sca_cp_prek_schools_FY2015-19,Y,405,Queens,24,SCA,0101000020E61000007C48F8DEDF7952C0F1D6F9B7CB5C4440
Yes,Yes,36,24,PRE-K CENTER @ 57-06 99TH STREET,DSF0000844747,pre-k capacity projects,57-06 99TH STREET,40.738242,-73.860015,17-Sep,2018,16-Sep,17-Jun,6.44,0,6.44,0,sca_cp_prek_schools_FY2015-19,Y,404,Queens,24,SCA,0101000020E610000072C45A7C0A7752C04E44BFB67E5E4440
Yes,Yes,180,24,PRE-K CENTER @ 68-20 MYRTLE AVENUE,DSF0000800282,pre-k capacity projects,68-20 MYRTLE AVENUE,40.701684,-73.883891,15-Jul,2016,14-Jul,14-Dec,7.88,0,7.88,0,sca_cp_prek_schools_FY2015-19,Y,405,Queens,24,SCA,0101000020E6100000A48E8EAB917852C0301004C8D0594440
Yes,Yes,90,24,PRE-K CENTER @ 70-24 47TH AVENUE,DSF0000822186,pre-k capacity projects,70-24 47TH AVENUE,40.739014,-73.893771,17-Sep,2018,15-Jun,16-Apr,4.19,0,4.19,0,sca_cp_prek_schools_FY2015-19,Y,402,Queens,24,SCA,0101000020E61000003FC7478B337952C0A0A4C002985E4440
Yes,Yes,270,20,PRE-K CENTER @ 7401 FORT HAMILTON PARKWAY,DSF0000822086,pre-k capacity projects,7401 FORT HAMILTON PARKWAY,40.62621,-74.015818,15-Sep,2016,15-May,15-Jul,14.78,0,14.78,0,sca_cp_prek_schools_FY2015-19,Y,310,Brooklyn,20,SCA,0101000020E61000000A2C8029038152C0CE3637A627504440
Yes,No,18,20,PRE-K CENTER @ 8501 5TH AVENUE,DSF0000821654,pre-k capacity projects,8501 5TH AVENUE,40.622039,-74.025734,15-Sep,2016,14-Oct,15-Apr,6.14,0,6.14,0,sca_cp_prek_schools_FY2015-19,Y,310,Brooklyn,20,SCA,0101000020E61000004C1938A0A58152C014EB54F99E4F4440
Yes,Yes,72,28,PRE-K CENTER @ 89-14 PARSONS BOULEVARD,DSF0000800117,pre-k capacity projects,89-14 PARSONS BOULEVARD,40.705532,-73.801531,15-Jun,2015,14-Jun,14-Dec,7.43,0,7.43,0,sca_cp_prek_schools_FY2015-19,Y,412,Queens,28,SCA,0101000020E6100000BBEEAD484C7352C0072461DF4E5A4440
Yes,Yes,108,30,PRE-K CENTER @ 96-10 23RD AVENUE,DSF0000800058,pre-k capacity projects,96-10 23RD AVENUE,40.768352,-73.874092,15-Jun,2015,14-Jun,14-Dec,11.17,0.01,11.17,0,sca_cp_prek_schools_FY2015-19,Y,403,Queens,30,SCA,0101000020E61000007F6C921FF17752C079E8BB5B59624440
Yes,Yes,Replacement,10,P.S. 315,DSF0000775874,replacement projects,2865 CLAFLIN AVENUE,,,May-17,2017,Sep-13,Mar-15,20.95,0.49,20.45,0.00,sca_cp_rep_schools,,208,Bronx,10,DCP,0101000020E6100000C47AA356987952C06ADAC534D36F4440
Yes,Yes,54,24,PRE-K CENTER @ 98-22 55 AVENUE,DSF0000865849,pre-k capacity projects,98-22 55 AVENUE,40.739192,-73.862261,17-Sep,2018,17-Jan,17-Apr,0.36,0,0.36,0,sca_cp_prek_schools_FY2015-19,Y,404,Queens,24,SCA,0101000020E610000071E7C2482F7752C080BBECD79D5E4440
Yes,Yes,211,24,P.S. 143 ANNEX,DSF0000798197,capacity projects,98-07 38TH AVENUE,40.750246,-73.867825,Sep-18,2019,Dec-15,Aug-17,12.46,0,12.46,,sca_cp_cap_schools_FY2015-19,Y,403,Queens,24,SCA,0101000020E6100000AD69DE718A7752C037FA980F08604440
Yes,No,416,22,P.S. 254,DSF0000798194,capacity projects,1801 AVENUE Y,,,Jun-21,2021,Jul-17,Oct-18,64.94,0,58.08,,sca_cp_cap_schools_FY2015-19,Y,315,Brooklyn,22,DCP,0101000020E6100000EB39E97DE37C52C0ABED26F8A64B4440
*,,458,12,P.S. @ 1570 BOONE AVENUE,DSF0000798179,capacity projects,1570 BOONE AVENUE,40.833224,-73.88497,Sep-22,2023,Dec-17,Jan-20,79.23,6.44,72.79,0,sca_cp_cap_schools_FY2020-24,Y,203,Bronx,12,SCA,0101000020E61000003BFC3559A37852C0041F8315A76A4440
*,,410,25,P.S. 169 ADDITION,DSF0000798201,capacity projects,18-25 212 STREET,40.782298,-73.779099,Sep-22,2023,Sep-18,Dec-19,56.25,4.53,51.72,0,sca_cp_cap_schools_FY2020-24,Y,407,Queens,25,SCA,0101000020E61000002A560DC2DC7152C0F4DC425722644440
*,,476,10,P.S. @ 2355 MORRIS AVENUE,DSF0000889039,capacity projects,2355 MORRIS AVENUE,40.859668,-73.900982,Mar-23,2023,Mar-19,Jun-20,64.28,5.08,59.19,0,sca_cp_cap_schools_FY2020-24,,205,Bronx,10,SCA,0101000020E6100000381268B0A97952C078B5DC99096E4440
Yes,No,468,26,P.S. 332,DSF0000798205,capacity projects,210-07 48TH AVENUE,40.754954,-73.770314,Sep-17,2018,Feb-14,Aug-15,100.44,6.85,93.59,,sca_cp_cap_schools_FY2015-19,Y,411,Queens,26,SCA,0101000020E6100000A96917D34C7152C000FE2955A2604440
Yes,No,516,27,P.S. 335,DSF0000417420,capacity projects,150-15 RALEIGH STREET,40.668127,-73.837189,Sep-17,2018,Sep-13,Jul-15,108.73,6.25,102.48,,sca_cp_cap_schools_FY2015-19,Y,410,Queens,27,SCA,0101000020E61000008AE42B81947552C08C497F2F85554440
Yes,No,388,10,P.S. 33 ANNEX,DSF0000798177,capacity projects,2424 JEROME AVENUE,40.86185,-73.90176,Sep-21,2022,Aug-17,Oct-18,72.79,0.02,65.12,,sca_cp_cap_schools_FY2015-19,Y,205,Bronx,10,SCA,0101000020E6100000D235936FB67952C05F07CE19516E4440
Yes,No,748,31,P.S. @ 357 TARGEE STREET,DSF0000843832,capacity projects,357 TARGEE STREET,40.618679,-74.084846,Jun-22,2022,May-17,Dec-18,113.43,0,102.04,,sca_cp_cap_schools_FY2015-19,Y,501,Staten Island,31,SCA,0101000020E610000092CCEA1D6E8552C06ADC9BDF304F4440
Yes,No,332,15,P.S. @ 4302 4TH AVENUE,DSF0000798182,capacity projects,4302 4TH AVENUE,40.650305,-74.008602,Jun-22,2022,Aug-16,Dec-18,92.92,0,85.15,,sca_cp_cap_schools_FY2015-19,Y,307,Brooklyn,15,SCA,0101000020E6100000882B67EF8C8052C070B6B9313D534440
Yes,No,328,15,P.S. @ 4525 8TH AVENUE,DSF0000798183,capacity projects,4525 8TH AVENUE,40.643734,-74.000977,Sep-21,2022,Mar-17,Nov-18,83.74,0.05,76.34,,sca_cp_cap_schools_FY2015-19,Y,312,Brooklyn,15,SCA,0101000020E610000016C3D501108052C061A92EE065524440
*,,440,26,P.S. 46 ADDITION,DSF0000798204,capacity projects,64-45 218 STREET,40.746202,-73.758752,Sep-22,2023,Sep-18,Dec-19,56.25,4.52,51.73,0,sca_cp_cap_schools_FY2020-24,Y,411,Queens,26,SCA,0101000020E610000093718C648F7052C0DA1A118C835F4440
Yes,Yes,113,15,P.S. 516 SUNSET PARK AVENUES ELEMENTARY SCHOOL,DSF0000799396,capacity projects,4222 4TH AVENUE,40.650785,-74.008105,Jul-16,2017,Jan-14,Jul-14,11.6,0.12,11.49,,sca_cp_cap_schools_FY2015-19,Y,307,Brooklyn,15,SCA,0101000020E6100000C87BD5CA848052C01ADD41EC4C534440
Yes,Yes,224,15,P.S. @ 736 48TH STREET,DSF0000866093,capacity projects,736 48TH STREET,40.643018,-74.003856,Sep-18,2019,May-17,Jun-18,16.49,0,16.49,,sca_cp_cap_schools_FY2015-19,Y,307,Brooklyn,15,SCA,0101000020E61000002D793C2D3F8052C0A25EF0694E524440
Yes,No,976,20,P.S. 746,DSF0000798186,capacity projects,256 59TH STREET,40.643337,-74.021011,Mar-20,2020,Apr-15,Jun-17,128.94,0.1,118.17,,sca_cp_cap_schools_FY2015-19,Y,307,Brooklyn,20,SCA,0101000020E6100000CD76853E588152C044A7E7DD58524440
Yes,No,404,15,P.S. @ 836-841 5TH AVENUE,DSF0000843828,capacity projects,836-841 5TH AVENUE,40.653319,-74.001791,Apr-21,2021,Aug-17,Nov-18,89.85,0,81.89,,sca_cp_cap_schools_FY2015-19,Y,307,Brooklyn,15,SCA,0101000020E6100000569BFF571D8052C07F6DFDF49F534440
*,L,332,13,P.S. @ ALBEE SQUARE WEST,DSF0000843660,capacity projects,420 ALBEE SQUARE WEST,40.691157,-73.983459,Jun-23,2023,Jul-17,Sep-21,29.86,2.35,27.51,0,sca_cp_cap_schools_FY2020-24,Y,302,Brooklyn,13,SCA,0101000020E61000003D7D04FEF07E52C063B323D577584440
*,,382,15,P.S./H.S. @ SCHERMERHORN STREET,DSF0000888773,capacity projects,362 SCHERMERHORN STREET,40.686499,-73.979649,Jun-23,2023,Mar-18,May-20,2.05,2.05,0,0,sca_cp_cap_schools_FY2020-24,Y,302,Brooklyn,15,SCA,0101000020E6100000C823B891B27E52C04CDE0033DF574440
Yes,No,"1,000",19,P.S./I.S. @ 3269 ATLANTIC AVENUE,DSF0000822081,capacity projects,3269 ATLANTIC AVENUE,40.680655,-73.875152,Sep-20,2021,Jul-16,Dec-17,127.56,0,116.52,,sca_cp_cap_schools_FY2015-19,Y,305,Brooklyn,19,SCA,0101000020E6100000DBC1887D027852C0F06DFAB31F574440
Yes,No,572,30,P.S. @ PARCEL C,DSF0000843659,capacity projects,1-50 54TH AVENUE,40.740933,-73.960045,Jun-21,2021,Dec-16,Apr-18,102.06,0,93.09,,sca_cp_cap_schools_FY2015-19,Y,402,Queens,30,SCA,0101000020E61000000D6C9560717D52C07AC37DE4D65E4440
Yes,Yes,245,5,TEACHER'S COLLEGE COMMUNITY SCHOOL ANNEX,DSF0000866751,capacity projects,223-233 WEST 132 STREET,40.813781,-73.946024,Sep-18,2019,Aug-17,May-18,20,0,20,,sca_cp_cap_schools_FY2015-19,Y,110,Manhattan,5,SCA,0101000020E6100000CA4E3FA88B7C52C0978DCEF929684440
Yes,No,333,13,THE DOCK STREET EDUCATIONAL COMPLEX,DSF0000687093,capacity projects,19 DOCK STREET,40.703106,-73.992549,Jul-16,2017,May-12,May-15,41.47,3.57,37.9,,sca_cp_cap_schools_FY2015-19,Y,302,Brooklyn,13,SCA,0101000020E61000005CAB3DEC857F52C089CF9D60FF594440
Yes,No,692,3,THE RIVERSIDE SCHOOL,DSF0000730952,capacity projects,21 WEST END AVENUE,40.772463,-73.989844,Sep-17,2018,Apr-11,Jun-16,110.39,3.61,106.78,,sca_cp_cap_schools_FY2015-19,Y,107,Manhattan,3,SCA,0101000020E61000001409A69A597F52C05E2F4D11E0624440
Yes,,400,11,P.S. 19 ADDITION,DSF0000821591,class size reduction projects,,,,Jul-20,2021,May-16,Jun-17,70.61,0.00,64.76,5.86,sca_cp_class_size_reduction,,212,Bronx,11,SCA,0101000020E6100000EC51B81E857752C0693A3B191C734440
Yes,,Replacement,75Q,P.S. 256 ANNEX,DSF0000843866,replacement projects,,,,Sep-20,2021,Apr-16,Jan-18,23.06,0.00,21.44,1.61,sca_cp_rep_schools,,414,Queens,27,SCA,0101000020E6100000058A58C4B07652C08978EBFCDB494440
Yes,,Replacement,75R,D75 REPLACEMENT @ 15 FAIRFIELD STREET,DSF0000821871,replacement projects,,,,Sep-20,2021,Sep-16,Feb-18,58.15,0.00,53.78,4.38,sca_cp_rep_schools,,503,Staten Island,31,SCA,0101000020E61000003F1D8F19A88952C06AF6402B30484440
Yes,,384,29,P.S. 131 ADDITION,DSF0000843904,class size reduction projects,,,,Jul-21,2022,Mar-17,Jun-18,75.84,0.00,69.23,6.61,sca_cp_class_size_reduction,,408,Queens,29,SCA,0101000020E610000042CC2555DB7252C0FA60191BBA5B4440
Yes,,Replacement,75R,I.S./H.S. @ 715 OCEAN TERRACE,DSF0000844161,replacement projects,,,,Sep-21,2022,Nov-17,Dec-18,100.00,0.00,89.51,10.49,sca_cp_rep_schools,,502,Staten Island,31,SCA,0101000020E610000008E92972888652C0AF0793E2E34D4440
Yes,No,548,25,P.S. 129,DSF0000843833,capacity projects,128-02 7TH AVENUE,,,Sep-20,2021,Sep-16,May-18,67.15,0,61.44,,sca_cp_cap_schools_FY2015-19,Y,407,Queens,25,DCP,0101000020E6100000EF1AF4A5B77552C09BABE63922654440
Yes,No,333,24,P.S. 49,DSF0000798200,capacity projects,63-60 80TH STREET,,,Sep-17,2018,Mar-14,Dec-15,44.64,0.13,44.52,,sca_cp_cap_schools_FY2015-19,Y,405,Queens,24,DCP,0101000020E6100000228B34F10E7852C041464085235C4440
Yes,,Replacement,24,P.S. 19 MINISCHOOL,DSF0000798568,replacement projects,98-02 ROOSEVELT AVENUE,,,Sep-18,2019,Mar-15,Jul-16,14.22,0.00,14.22,0.00,sca_cp_rep_schools,,404,Queens,24,DCP,0101000020E6100000AB933314777752C08E01D9EBDD5F4440
Yes,No,640,24,P.S. 19,DSF0000798568,capacity projects,98-02 ROOSEVELT AVENUE,,,Sep-18,2019,Mar-15,Jul-16,113.87,0.01,113.85,,sca_cp_cap_schools_FY2015-19,Y,404,Queens,24,DCP,0101000020E6100000AB933314777752C08E01D9EBDD5F4440
No,Yes,120,31,3K CENTER @ BAY STREET,DSF0000891030,3k capacity projects,365 Bay Street,,,2019-05-20T00:00:00.000,2019,2019-09-18T00:00:00.000,2019-07-19T00:00:00.000,12,0.93,11.07,0,sca_cp_3k_schools,,501,Staten Island,31,DCP,0101000020E6100000DB166536C88452C08602B68311514440
No,Yes,150,31,3K CENTER @ FOREST AVENUE,DSF0000889341,3k capacity projects,2040 Forest Avenue,,,2019-08-20T00:00:00.000,2020,2019-07-18T00:00:00.000,2019-11-19T00:00:00.000,0.08,0.08,0,0,sca_cp_3k_schools,,501,Staten Island,31,DCP,0101000020E61000005A68E7340B8A52C044BFB67EFA4F4440
Yes,No,548,78Q,CARDOZO HIGH SCHOOL ANNEX,DSF0000888760,capacity projects,57-00 223rd St,,,Jun-22,2022,Apr-18,Jul-19,71.79,0,5.49,,sca_cp_cap_schools_FY2015-19,Y,411,Queens,26,DCP,0101000020E61000002FC03E3A757052C08D0C721761604440
Yes,No,345,78R,CURTIS HIGH SCHOOL ANNEX,DSF0000798232,capacity projects,105 Hamilton Avenue,,,Jul-17,2018,Apr-14,Sep-15,101.18,0.14,101.04,,sca_cp_cap_schools_FY2015-19,Y,501,Staten Island,31,DCP,0101000020E6100000B4C9E1934E8552C0E5EE737CB4524440
Yes,,602,78K,EAST NY FAMILY ACADEMY,DSF0000844038,class size reduction projects,145 Pennsylvania Avenue,,,Jun-21,2021,Apr-17,Jun-18,111.29,0.00,101.51,9.78,sca_cp_class_size_reduction,,305,Brooklyn,19,DCP,0101000020E6100000DFE17668587952C038F3AB3940564440
Yes,No,728,24,I.S. 125,DSF0000798199,capacity projects,46-02 47 AVENUE,,,Sep-17,2018,Feb-14,Dec-15,117.66,0.3,117.36,,sca_cp_cap_schools_FY2015-19,Y,402,Queens,24,DCP,0101000020E6100000E6762FF7C97A52C0F8DEDFA0BD5E4440
*,,646,15,I.S. @ 21-31 & 35 DELEVAN STREET,DSF0000843826,capacity projects,21-31 Delevan Street,,,Jun-24,2024,Sep-19,Feb-21,99.57,1.44,98.13,0,sca_cp_cap_schools_FY2020-24,Y,306,Brooklyn,15,DCP,0101000020E61000002E724F57778052C0B05582C5E1564440
*,,536,30,I.S. @ 44-59 45 AVENUE,DSF0000843827,capacity projects,44-59 45 Avenue,,,Jun-24,2024,Mar-20,Jun-21,92.38,0.11,92.26,0,sca_cp_cap_schools_FY2020-24,Y,402,Queens,30,DCP,0101000020E6100000143E5B07077D52C0D57954FCDF5F4440
Yes,Yes,507,78Q,I.S./H.S. 336,DSF0000798226,capacity projects,124-06 14th Avenue,,,Sep-18,2019,Oct-13,Jul-16,27.77,0.45,27.32,,sca_cp_cap_schools_FY2015-19,Y,407,Queens,25,DCP,0101000020E6100000981936CAFA7552C09488F02F82644440
No,Yes,306,24,PRE-K CENTER @ 111TH STREET,DSF0000844699,pre-k capacity projects,47-01 111th Street,,,22-Mar,2022,16-Aug,19-Aug,41.49,3.55,37.94,0,sca_cp_prek_schools_FY2020-24,Y,481,Queens,24,DCP,0101000020E610000018EC866D8B7652C0C64D0D349F5F4440
Yes,Yes,108,31,PRE-K CENTER @ 120 STUYVESANT PLACE,DSF0000800267,pre-k capacity projects,120 STUYVESANT PLACE,,,15-Aug,2016,14-Jul,15-Jan,19.26,0,19.26,0,sca_cp_prek_schools_FY2015-19,Y,501,Staten Island,31,DCP,0101000020E61000000DC51D6FF28452C009A9DBD957524440
Yes,Yes,126,20,PRE-K CENTER @ 1258 65TH STREET,DSF0000800123,pre-k capacity projects,1258 65th Street,,,15-Jul,2016,14-Jun,14-Dec,12.31,0,12.31,0,sca_cp_prek_schools_FY2015-19,Y,310,Brooklyn,20,DCP,0101000020E61000000492B06F278052C0680932022A504440
Yes,Yes,90,2,PRE-K CENTER @ 1683 3RD AVENUE,DSF0000867184,pre-k capacity projects,1683 3rd Avenue,,,18-Sep,2019,17-Aug,18-Mar,15,0,15,0,sca_cp_prek_schools_FY2015-19,Y,108,Manhattan,2,DCP,0101000020E6100000F65FE7A6CD7C52C0C09481035A644440
Yes,Yes,108,2,PRE-K CENTER @ 2-26 WASHINGTON ST,DSF0000800052,pre-k capacity projects,2-26 Washington Street,,,15-Sep,2016,14-Jun,15-Jan,13.34,0.01,13.33,0,sca_cp_prek_schools_FY2015-19,Y,101,Manhattan,2,DCP,0101000020E6100000FB90B75CFD8052C04B00FE29555A4440
Yes,Yes,144,2,PRE-K CENTER @ 252 EAST 57 STREET,DSF0000866268,pre-k capacity projects,252 East 57th Street,,,18-Sep,2019,17-May,18-Mar,19.01,0,19.01,0,sca_cp_prek_schools_FY2015-19,Y,106,Manhattan,2,DCP,0101000020E61000006D904946CE7D52C08EB27E3331614440
