bldgid,district,boro,school,programcategory,source,geom,cd,school_district
K406,78K,K,MIDWOOD AF (MAIN),Athletic Fields,sca_cp_added_projects,,,
K406,78K,K,MIDWOOD AF (MAIN),Reinforcing Support Elements,sca_cp_added_projects,,,
K411,78K,K,LINCOLN AF,Low-Voltage Electrical Systems,sca_cp_added_projects,,,
K457,78K,K,BOYS HS AF (OLD),Heating Plant Upgrade,sca_cp_added_projects,,,
K466,78K,K,ERASMUS HALL HS AF,Heating Plant Upgrade,sca_cp_added_projects,,,
K496,78K,K,SHEEPSHEAD BAY HS AF,Athletic Fields,sca_cp_added_projects,,,
K516,78K,K,SOUTH SHORE HS AF,Athletic Fields,sca_cp_added_projects,,,
K673,14,K,P.S. 18 GYM ANNEX,Gymnasiums,sca_cp_added_projects,,,
K801,33K,K,CENT HEADQTRS (65 COURT),Elevators and Escalators,sca_cp_added_projects,,,
K801,33K,K,CENT HEADQTRS (65 COURT),Lighting Fixtures,sca_cp_added_projects,,,
K801,33K,K,CENT HEADQTRS (65 COURT),Lighting Fixtures,sca_cp_added_projects,,,
K801,33K,K,CENT HEADQTRS (65 COURT),Windows,sca_cp_added_projects,,,
K801,33K,K,CENT HEADQTRS (65 COURT),Domestic Piping,sca_cp_added_projects,,,
K801,33K,K,CENT HEADQTRS (65 COURT),Heating Plant Upgrade,sca_cp_cancelled_projects,,,
K801,33K,K,CENT HEADQTRS (65 COURT),Lighting Fixtures,sca_cp_cancelled_projects,,,
K801,33K,K,CENT HEADQTRS (65 COURT),Climate Control,sca_cp_added_projects,,,
K729,22,K,P.S. 207 ANNEX,New/Retrofit Telephone/Intercom System,sca_cp_added_projects,0101000020E6100000A7A39B97F37B52C0CC56C9D2664F4440,318,22
K799,78K,K,BUSHWICK LEADERS HS FOR ACAD EXL,Roofs,sca_cp_added_projects,0101000020E6100000EDFA04557F7B52C029666DD9DD594440,304,32
K799,78K,K,BUSHWICK LEADERS HS FOR ACAD EXL,Parapets,sca_cp_added_projects,0101000020E6100000EDFA04557F7B52C029666DD9DD594440,304,32
K799,78K,K,BUSHWICK LEADERS HS FOR ACAD EXL,Windows,sca_cp_added_projects,0101000020E6100000EDFA04557F7B52C029666DD9DD594440,304,32
K813,78K,K,DIST. OFFICE #13 (OLD 9 AX),Electrical Systems,sca_cp_added_projects,,,
K905,22,K,DISTRICT 22 ECOLOGY CENTER,Windows,sca_cp_added_projects,,,
K986,33K,K,DIV. OF INSTR.  &  INFO. TECH.,Lighting Fixtures,sca_cp_added_projects,,,
K995,22,K,LEARNING SUPPORT CENTER,Lighting Fixtures,sca_cp_added_projects,,,
K995,22,K,LEARNING SUPPORT CENTER,Heating Plant Upgrade,sca_cp_added_projects,,,
KBBY,16,K,BROOKLYN CHILDREN CENTER,Technology,sca_cp_added_projects,,,
K812,15,K,P.S. 1 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E6100000EF94B9B49E8052C0A7783221FE524440,307,15
K842,32,K,P.S. 45 AX (OLD BS RDGWD ECC1),Ventilation,sca_cp_added_projects,0101000020E6100000E40F5CD6217A52C010E924830F584440,304,32
K848,19,K,P.S. 149 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E61000009DD103EE467952C0004CE6DE8C554440,305,19
K848,19,K,P.S. 149 ANNEX,Lighting Fixtures,sca_cp_added_projects,0101000020E61000009DD103EE467952C0004CE6DE8C554440,305,19
K854,23,K,P.S. 178 AX (BED STUY ECC 1),Playground Redevelopment,sca_cp_added_projects,0101000020E610000080D16674C57A52C09D78B26BF9554440,316,23
K889,17,K,P.S. 189 MINISCHOOL,Heating Plant Upgrade,sca_cp_added_projects,0101000020E610000035B3489F477B52C0A028523531554440,317,17
K889,17,K,P.S. 189 MINISCHOOL,Ventilation,sca_cp_advanced_projects,0101000020E610000035B3489F477B52C0A028523531554440,317,17
K908,15,K,P.S. 230 ANNEX,Lighting Fixtures,sca_cp_added_projects,0101000020E6100000F11D7632B27E52C0F86717B168524440,312,15
K932,78K,K,HIGH SCHOOL SUSPENSION CENTER,Student Toilets,sca_cp_added_projects,0101000020E6100000797914A3BE7852C018B74A9D02564440,305,19
K940,20,K,I.S. 30,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000D43C51EA7C8152C0898640B214514440,310,20
M081,78M,M,MID MAN ADULT LRNG CTR (81),Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000643A74C1E27C52C073324D0C2D674440,110,3
M233,6,M,ALTERNATIVE LEARNING CENTER,Electrical Systems,sca_cp_added_projects,0101000020E61000002B7845F9B67B52C01985452FE06C4440,112,6
M777,2,M,FIT,Ventilation,sca_cp_added_projects,,,
M777,2,M,FIT,Domestic Piping,sca_cp_added_projects,,,
M777,2,M,FIT,Heating Plant Upgrade,sca_cp_added_projects,,,
M777,2,M,FIT,Ventilation,sca_cp_added_projects,,,
M777,2,M,FIT,Ventilation,sca_cp_added_projects,,,
M777,2,M,FIT,Room Conversions/Partitioning,sca_cp_added_projects,,,
M777,2,M,FIT,Ventilation,sca_cp_added_projects,,,
M847,6,M,P.S. 178 MINISCHOOL,Low-Voltage Electrical Systems,sca_cp_added_projects,,,
M847,6,M,P.S. 178 MINISCHOOL,Low-Voltage Electrical Systems,sca_cp_cancelled_projects,,,
M848,6,M,P.S. 192 MINISCHOOL,Student Toilets,sca_cp_added_projects,0101000020E6100000490BEE8EDF7C52C0EF75EFF614694440,109,6
M859,6,M,I.S. 143 MINISCHOOL,Student Toilets,sca_cp_added_projects,0101000020E61000009ED2CAF4957B52C0B2D2968DA96C4440,112,6
M875,75M,M,P.S. 226 (FIRST PRESB CHURCH),Electrical Systems,sca_cp_added_projects,0101000020E6100000AC212825B37F52C05FADE57E135E4440,102,2
Q048,28,Q,P.S. 48,Flood Elimination,sca_cp_added_projects,0101000020E6100000C7443F1A027352C0FE9C89E5D8584440,412,28
Q342,24,Q,P.S. 81 GYM ANNEX,Gymnasiums,sca_cp_added_projects,,,
Q411,78Q,Q,BEACH CHANNEL AF,Athletic Fields,sca_cp_advanced_projects,,,
Q411,78Q,Q,BEACH CHANNEL AF,Athletic Fields,sca_cp_added_projects,,,
Q416,78Q,Q,CARDOZO AF,Athletic Fields,sca_cp_added_projects,,,
Q421,78Q,Q,SPRINGFIELD GDNS HS AF,Paved Area-Concrete,sca_cp_added_projects,,,
Q278,28,Q,PS 182 ANNEX,Lighting Fixtures,sca_cp_cancelled_projects,0101000020E610000055759656557352C015C1DB446F5A4440,412,28
Q278,28,Q,PS 182 ANNEX,Lighting Fixtures,sca_cp_added_projects,0101000020E610000055759656557352C015C1DB446F5A4440,412,28
Q278,28,Q,PS 182 ANNEX,New/Retrofit Telephone/Intercom System,sca_cp_added_projects,0101000020E610000055759656557352C015C1DB446F5A4440,412,28
Q441,78Q,Q,FOREST HILLS AF,Athletic Fields,sca_cp_added_projects,,,
Q441,78Q,Q,FOREST HILLS HS AF,Athletic Fields,sca_cp_cancelled_projects,,,
Q446,78Q,Q,BRYANT AF,Athletic Fields,sca_cp_added_projects,,,
Q446,78Q,Q,BRYANT HS AF,Athletic Fields,sca_cp_cancelled_projects,,,
Q488,78Q,Q,CLEVELAND AF NO. 2,Athletic Fields,sca_cp_added_projects,,,
Q567,78Q,Q,GLEN OAKS CAMPUS FACILITY,Athletic Fields,sca_cp_added_projects,,,
Q800,33Q,Q,DOE ADMINISTRATIVE / STUDENT SERVICES,Technology,sca_cp_added_projects,,,
Q801,33Q,Q,OSSS / DSF,Fire System Sprinklers,sca_cp_added_projects,,,
Q801,33Q,Q,OSSS / DSF,Low-Voltage Electrical Systems,sca_cp_added_projects,,,
Q801,33Q,Q,OSSS / DSF,Elevators and Escalators,sca_cp_added_projects,,,
Q814,28,Q,P.S. 82 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E61000003684EBC61A7352C045662B6599584440,412,28
Q814,28,Q,P.S. 82 ANNEX,Electrical Systems,sca_cp_cancelled_projects,0101000020E61000003684EBC61A7352C045662B6599584440,412,28
Q816,75Q,Q,P.S. 256 ANNEX,Climate Control,sca_cp_cancelled_projects,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,414,27
Q816,75Q,Q,P.S. 256 ANNEX,Flood Elimination,sca_cp_cancelled_projects,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,414,27
Q816,75Q,Q,P.S. 256 ANNEX,Interior Spaces,sca_cp_cancelled_projects,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,414,27
Q816,75Q,Q,P.S. 256 ANNEX,Electrical Systems,sca_cp_cancelled_projects,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,414,27
Q816,75Q,Q,P.S. 256 ANNEX,Gymnasium Upgrade,sca_cp_cancelled_projects,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,414,27
Q816,75Q,Q,P.S. 256 ANNEX,Playgrounds,sca_cp_cancelled_projects,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,414,27
Q816,75Q,Q,P.S. 256 ANNEX,Playground Redevelopment,sca_cp_added_projects,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,414,27
Q836,29,Q,P.S. 36 MINISCHOOL,Roofs,sca_cp_added_projects,0101000020E6100000B3C006DAE37052C0A31DA90E6D584440,412,29
R019,31,R,P.S. 19,Roofs,sca_cp_added_projects,0101000020E610000001530C22248852C052A2ED3BCB504440,501,31
R025,75R,R,P.S. 25 ANNEX (OLD 4),Heating Plant Upgrade,sca_cp_added_projects,0101000020E61000000DE4F700348F52C09C5BF80118454440,503,31
R025,75R,R,P.S. 25 ANNEX (OLD 4),Student Toilets,sca_cp_added_projects,0101000020E61000000DE4F700348F52C09C5BF80118454440,503,31
R451,78R,R,CURTIS HS AF,Athletic Fields,sca_cp_added_projects,,,
R451,78R,R,CURTIS HS AF,Athletic Fields,sca_cp_added_projects,,,
R802,31,R,P.S. 1 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E610000057567DA09F8F52C02CCE5A1C28414440,503,31
R826,31,R,P.S. 3 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E6100000B1F72B643F8E52C0022D37611F414440,503,31
R844,31,R,P.S. 36 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E61000008189B68AA18B52C0640CC69BB4454440,503,31
R848,31,R,P.S. 42 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E61000007FFED8BDCE8A52C0AE54650CA4464440,503,31
R848,31,R,P.S. 42 ANNEX,Lighting Fixtures,sca_cp_cancelled_projects,0101000020E61000007FFED8BDCE8A52C0AE54650CA4464440,503,31
R848,31,R,P.S. 42 ANNEX,Student Toilets,sca_cp_added_projects,0101000020E61000007FFED8BDCE8A52C0AE54650CA4464440,503,31
R884,75R,R,P.S. 373 AX (PTR COMP-BLDG J),Electrical Systems,sca_cp_added_projects,0101000020E6100000D7F1859A858652C04D662CF0DE4D4440,502,31
R885,31,R,P.S. 80 AX(PETR COMPL-BLDG D),Electrical Systems,sca_cp_added_projects,0101000020E6100000D7F1859A858652C04D662CF0DE4D4440,502,31
R886,31,R,P.S. 80 AX(PETR COMPL-BLDG C),Electrical Systems,sca_cp_added_projects,0101000020E6100000D7F1859A858652C04D662CF0DE4D4440,502,31
X143,10,X,I.S. 143,Parapets,sca_cp_added_projects,0101000020E6100000D45B73D1B37952C09C312A8D11704440,208,10
X171,9,X,P.S. 4 ANNEX (P171 ECC),Heating Plant Upgrade,sca_cp_added_projects,0101000020E610000054E50AC5737952C0533B9B00BE6B4440,203,9
X172,9,X,P.S. 11 ANNEX (P172 ECC),Flood Elimination,sca_cp_added_projects,0101000020E61000009A897656277B52C05FFA7236D06B4440,204,9
X172,9,X,P.S. 11 ANNEX (P172 ECC),New/Retrofit Telephone/Intercom System,sca_cp_added_projects,0101000020E61000009A897656277B52C05FFA7236D06B4440,204,9
X451,78X,X,STEVENSON AF,Athletic Fields,sca_cp_cancelled_projects,,,
X451,78X,X,STEVENSON HS AF,Athletic Fields,sca_cp_added_projects,,,
X476,78X,X,KENNEDY AF,Athletic Fields,sca_cp_added_projects,,,
XADY,11,X,SAINT LUCY ELEMENTARY SCHOOL,Technology,sca_cp_added_projects,,,
M435,78M,M,MANHTN CT FOR MATH & SCI. HS,Student Toilets,sca_cp_added_projects,0101000020E6100000420FFE4BB57B52C0947B7494A4654440,111,4
M435,78M,M,MANHTN CT FOR MATH & SCI. HS,Cafeteria / Multipurpose Room Upgrade,sca_cp_added_projects,0101000020E6100000420FFE4BB57B52C0947B7494A4654440,111,4
M191,3,M,P.S. 191,Heating Plant Upgrade,sca_cp_added_projects,0101000020E610000061F24732337F52C0D145F67DC3624440,107,3
M050,4,M,P.S. 50 (UDC & ECF),Student Toilets,sca_cp_added_projects,0101000020E61000008C53C369387C52C0D8F6C6B98D644440,111,4
M050,4,M,P.S. 50 (UDC & ECF),Paved Area-Concrete,sca_cp_added_projects,0101000020E61000008C53C369387C52C0D8F6C6B98D644440,111,4
M050,4,M,P.S. 50 (UDC & ECF),Exterior Masonry,sca_cp_added_projects,0101000020E61000008C53C369387C52C0D8F6C6B98D644440,111,4
M104,2,M,I.S. 104,Heating Plant Upgrade,sca_cp_added_projects,0101000020E61000005758043EC97E52C0635F994A315E4440,106,2
M104,2,M,I.S. 104,Student Toilets,sca_cp_added_projects,0101000020E61000005758043EC97E52C0635F994A315E4440,106,2
Q270,29,Q,P.S. 270,Roofs,sca_cp_added_projects,0101000020E610000095A3CAC21D6F52C07DC52DE867564440,413,29
Q162,26,Q,P.S. 162,Roofs,sca_cp_added_projects,0101000020E610000047FCF36EB37152C0E6073DC0CB5F4440,411,26
Q160,28,Q,P.S. 160,Roofs,sca_cp_added_projects,0101000020E61000000837B0F02D7352C09824F9CD1C584440,412,28
K012,17,K,P.S. 12,Accessibility,sca_cp_added_projects,0101000020E610000078DA7896E27A52C0484696AD28564440,316,23
K287,13,K,P.S. 287,Roofs,sca_cp_added_projects,0101000020E6100000339E2AA4CA7E52C0A6079C3053594440,302,13
K254,22,K,P.S. 254,Roofs,sca_cp_added_projects,0101000020E6100000CA88D038E67C52C009DA2349A94B4440,315,22
M134,1,M,P.S. 134,New/Retrofit Telephone/Intercom System,sca_cp_added_projects,0101000020E610000088BA8B90F77E52C04E95A3846C5B4440,103,1
M015,1,M,P.S. 15,Student Toilets,sca_cp_added_projects,0101000020E61000006012090AA37E52C0389A35106B5C4440,103,1
M015,1,M,P.S. 15,Heating Plant Upgrade,sca_cp_added_projects,0101000020E61000006012090AA37E52C0389A35106B5C4440,103,1
M015,1,M,P.S. 15,Domestic Piping,sca_cp_added_projects,0101000020E61000006012090AA37E52C0389A35106B5C4440,103,1
R014,31,R,P.S. 14,Student Toilets,sca_cp_added_projects,0101000020E6100000180F3245068552C00B595F94AC4F4440,501,31
K279,18,K,P.S. 279,Low-Voltage Electrical Systems,sca_cp_added_projects,0101000020E6100000E8ABE994237952C02109ADF472524440,318,18
K279,18,K,P.S. 279,Student Toilets,sca_cp_added_projects,0101000020E6100000E8ABE994237952C02109ADF472524440,318,18
K279,18,K,P.S. 279,Lighting Fixtures,sca_cp_added_projects,0101000020E6100000E8ABE994237952C02109ADF472524440,318,18
K279,18,K,P.S. 279,Reinforcing Support Elements,sca_cp_cancelled_projects,0101000020E6100000E8ABE994237952C02109ADF472524440,318,18
K279,18,K,P.S. 279,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000E8ABE994237952C02109ADF472524440,318,18
K279,18,K,P.S. 279,Elevators and Escalators,sca_cp_added_projects,0101000020E6100000E8ABE994237952C02109ADF472524440,318,18
K279,18,K,P.S. 279,Domestic Piping,sca_cp_added_projects,0101000020E6100000E8ABE994237952C02109ADF472524440,318,18
K279,18,K,P.S. 279,Playground Redevelopment,sca_cp_added_projects,0101000020E6100000E8ABE994237952C02109ADF472524440,318,18
K590,78K,K,MIDDLE COLLEGE HS,Accessibility,sca_cp_added_projects,0101000020E6100000955A7AA9EA7C52C0CA7F116259554440,309,17
K590,78K,K,MIDDLE COLLEGE HS,Elevators and Escalators,sca_cp_added_projects,0101000020E6100000955A7AA9EA7C52C0CA7F116259554440,309,17
K165,23,K,P.S. 165,Student Toilets,sca_cp_added_projects,0101000020E6100000B7D1CCD64C7A52C0752848961A544440,316,23
K165,23,K,P.S. 165,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000B7D1CCD64C7A52C0752848961A544440,316,23
K165,23,K,P.S. 165,Playground Redevelopment,sca_cp_added_projects,0101000020E6100000B7D1CCD64C7A52C0752848961A544440,316,23
K165,23,K,P.S. 165,Reinforcing Support Elements,sca_cp_added_projects,0101000020E6100000B7D1CCD64C7A52C0752848961A544440,316,23
K278,22,K,I.S. 278,Auditorium  Upgrade,sca_cp_added_projects,0101000020E61000000E4F651B137C52C0973B07B8A94D4440,315,22
K278,22,K,I.S. 278,Waste System,sca_cp_added_projects,0101000020E61000000E4F651B137C52C0973B07B8A94D4440,315,22
K495,78K,K,SHEEPSHEAD BAY HS,Lighting Fixtures,sca_cp_added_projects,0101000020E6100000E03B64DCF17B52C05D07AC92EC4B4440,315,22
K495,78K,K,SHEEPSHEAD BAY HS,IP Digital Video Surveillance System,sca_cp_added_projects,0101000020E6100000E03B64DCF17B52C05D07AC92EC4B4440,315,22
K495,78K,K,SHEEPSHEAD BAY HS,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000E03B64DCF17B52C05D07AC92EC4B4440,315,22
K495,78K,K,FRANK J. MACCHIAROLA EDUCATIONAL COMPLEX,New/Retrofit Telephone/Intercom System,sca_cp_added_projects,0101000020E6100000E03B64DCF17B52C05D07AC92EC4B4440,315,22
K043,21,K,I.S. 98,Electrical Systems,sca_cp_added_projects,0101000020E6100000E2E426120F7D52C060670405BD4A4440,315,21
K043,21,K,I.S. 98,Low-Voltage Electrical Systems,sca_cp_cancelled_projects,0101000020E6100000E2E426120F7D52C060670405BD4A4440,315,21
K043,21,K,I.S. 98,Domestic Piping,sca_cp_cancelled_projects,0101000020E6100000E2E426120F7D52C060670405BD4A4440,315,21
K043,21,K,I.S. 98,Student Toilets,sca_cp_added_projects,0101000020E6100000E2E426120F7D52C060670405BD4A4440,315,21
K383,32,K,I.S. 383,Climate Control,sca_cp_cancelled_projects,0101000020E6100000D1D5AF73D27A52C06D374A5054594440,304,32
K383,32,K,I.S. 383,Accessibility,sca_cp_added_projects,0101000020E6100000D1D5AF73D27A52C06D374A5054594440,304,32
K383,32,K,I.S. 383,Boiler Conversion,sca_cp_cancelled_projects,0101000020E6100000D1D5AF73D27A52C06D374A5054594440,304,32
K221,17,K,P.S. 221,Heating Plant Upgrade,sca_cp_added_projects,0101000020E61000007C1FE6F4E57B52C0DA6FAD5D00554440,309,17
Q816,75Q,Q,P.S. 256 ANNEX,Heating Plant Upgrade,sca_cp_cancelled_projects,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,414,27
Q848,24,Q,P.S. 81 ANNEX (OLD 75),Student Toilets,sca_cp_added_projects,0101000020E6100000EABA79B75C7A52C0879F4AC2475A4440,405,24
Q858,26,Q,P.S. 188 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E6100000DD076C35617052C07D989CC4225E4440,411,26
X048,8,X,P.S. 48,Roofs,sca_cp_added_projects,0101000020E6100000A3F5E5E5C17852C0A047F54432684440,202,8
Q219,25,Q,P.S. 219,Roofs,sca_cp_added_projects,0101000020E6100000A421BA16B87452C07CE8C528635E4440,408,25
Q073,24,Q,I.S. 73,Lighting Fixtures,sca_cp_added_projects,0101000020E61000006BD71BBB2B7952C0058E0BC63F5D4440,405,24
Q181,29,Q,P.S. 181,Parapets,sca_cp_added_projects,0101000020E6100000CC879485307052C0026D8DACED534440,413,29
K219,18,K,P.S. 219,Roofs,sca_cp_added_projects,0101000020E610000026D829E9067B52C026E8ABA554544440,317,18
K045,32,K,P.S. 45,Student Toilets,sca_cp_added_projects,0101000020E6100000CB84C559447A52C09E35C250DD574440,304,32
R036,31,R,P.S. 36,Windows,sca_cp_added_projects,0101000020E6100000174A17CAAA8B52C0667196BD83454440,503,31
Q859,78Q,Q,REGION 3 / ROC  C,Lighting Fixtures,sca_cp_added_projects,0101000020E6100000A61A13A34E7552C0B65F4A6A95624440,407,25
Q859,78Q,Q,REGION 3 / ROC C,Air Conditioning Split System,sca_cp_added_projects,0101000020E6100000A61A13A34E7552C0B65F4A6A95624440,407,25
Q859,78Q,Q,REGION 3 / ROC C,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000A61A13A34E7552C0B65F4A6A95624440,407,25
Q859,78Q,Q,H.S. 859,Exterior Masonry,sca_cp_advanced_projects,0101000020E6100000A61A13A34E7552C0B65F4A6A95624440,407,25
Q878,24,Q,P.S. 128 ANNEX,New/Retrofit Telephone/Intercom System,sca_cp_added_projects,0101000020E6100000C23BB16FCA7852C069FF6650895B4440,405,24
Q907,27,Q,P.S. 43 ANNEX,New/Retrofit Telephone/Intercom System,sca_cp_added_projects,0101000020E6100000D9B3CD2FAB7052C0D198B5BCFA4B4440,414,27
Q907,27,Q,P.S. 43 ANNEX,Flood Elimination,sca_cp_added_projects,0101000020E6100000D9B3CD2FAB7052C0D198B5BCFA4B4440,414,27
Q907,27,Q,P.S. 43 ANNEX,Elevators and Escalators,sca_cp_cancelled_projects,0101000020E6100000D9B3CD2FAB7052C0D198B5BCFA4B4440,414,27
Q907,27,Q,P.S. 43 ANNEX,Interior Spaces,sca_cp_added_projects,0101000020E6100000D9B3CD2FAB7052C0D198B5BCFA4B4440,414,27
Q920,27,Q,P.S. 43 TRANSPORTABLE,Interior Spaces,sca_cp_cancelled_projects,0101000020E610000075CCF259C07052C0931973BD024C4440,414,27
Q920,27,Q,P.S. 43 TRANSPORTABLE,Electrical Systems,sca_cp_cancelled_projects,0101000020E610000075CCF259C07052C0931973BD024C4440,414,27
Q920,27,Q,P.S. 43 TRANSPORTABLE,Exterior Masonry,sca_cp_cancelled_projects,0101000020E610000075CCF259C07052C0931973BD024C4440,414,27
M075,3,M,P.S. 75,Lighting Fixtures,sca_cp_added_projects,0101000020E6100000312F69F0557E52C02817212DC6654440,107,3
M075,3,M,P.S. 75,Student Toilets,sca_cp_added_projects,0101000020E6100000312F69F0557E52C02817212DC6654440,107,3
M075,3,M,P.S. 75,Boiler Conversion,sca_cp_added_projects,0101000020E6100000312F69F0557E52C02817212DC6654440,107,3
M075,3,M,P.S. 75,Climate Control,sca_cp_added_projects,0101000020E6100000312F69F0557E52C02817212DC6654440,107,3
M036,5,M,P.S. 36,Student Toilets,sca_cp_added_projects,0101000020E61000007BA14923467D52C0D57145FAC4674440,109,5
M218,6,M,I.S. 218,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000B27630E8857B52C01BF50C3F326E4440,112,6
M218,6,M,I.S. 218,Electrical Systems,sca_cp_added_projects,0101000020E6100000B27630E8857B52C01BF50C3F326E4440,112,6
M124,2,M,P.S. 124 (ECF),IP Digital Video Surveillance System,sca_cp_added_projects,0101000020E610000023F70671BD7F52C084D8C35F805B4440,103,2
M124,2,M,P.S. 124 (ECF),Waste System,sca_cp_added_projects,0101000020E610000023F70671BD7F52C084D8C35F805B4440,103,2
M189,6,M,P.S. 189,Parapets,sca_cp_added_projects,0101000020E610000095733F28657B52C0073C6A8D306D4440,112,6
M189,6,M,P.S. 189,Heating Plant Upgrade,sca_cp_added_projects,0101000020E610000095733F28657B52C0073C6A8D306D4440,112,6
M189,6,M,P.S. 189,Flood Elimination,sca_cp_added_projects,0101000020E610000095733F28657B52C0073C6A8D306D4440,112,6
M189,6,M,P.S. 189,Student Toilets,sca_cp_added_projects,0101000020E610000095733F28657B52C0073C6A8D306D4440,112,6
X832,10,X,P.S. 32 MINISCHOOL,Ventilation,sca_cp_advanced_projects,0101000020E6100000C543B826B37852C02956E7B2116D4440,206,10
X832,10,X,P.S. 32 MINISCHOOL,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000C543B826B37852C02956E7B2116D4440,206,10
X848,8,X,P.S. 48 AX (HNTS PNT ECC1),Electrical Systems,sca_cp_added_projects,0101000020E6100000802986F1C67852C086132E711B684440,202,8
X848,8,X,P.S. 48 AX (HNTS PNT ECC1),Roofs,sca_cp_added_projects,0101000020E6100000802986F1C67852C086132E711B684440,202,8
X848,8,X,P.S. 48 AX (HNTS PNT ECC1),Windows,sca_cp_added_projects,0101000020E6100000802986F1C67852C086132E711B684440,202,8
X848,8,X,P.S. 48 AX (HNTS PNT ECC1),Parapets,sca_cp_added_projects,0101000020E6100000802986F1C67852C086132E711B684440,202,8
X855,7,X,P.S. 30 ANNEX,Lighting Fixtures,sca_cp_cancelled_projects,0101000020E61000004065858EA67A52C0735D1C5354674440,201,7
X855,7,X,P.S. 30 ANNEX,New/Retrofit Telephone/Intercom System,sca_cp_added_projects,0101000020E61000004065858EA67A52C0735D1C5354674440,201,7
X855,7,X,P.S. 30 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E61000004065858EA67A52C0735D1C5354674440,201,7
X869,8,X,P.S. 69 MINISCHOOL,Lighting Fixtures,sca_cp_cancelled_projects,0101000020E6100000BBA4070F197752C0E4AAC96589684440,209,8
X870,9,X,P.S. 70 MINISCHOOL,Lighting Fixtures,sca_cp_cancelled_projects,0101000020E6100000B749965F167A52C0F553117B106C4440,204,9
X880,8,X,P.S. 69  ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E6100000F27291ED1E7752C0F4F66342B9684440,209,8
X880,8,X,P.S. 69  ANNEX,Electrical Systems,sca_cp_cancelled_projects,0101000020E6100000F27291ED1E7752C0F4F66342B9684440,209,8
X963,78X,X,CROTONA ACADEMY,Playground Redevelopment and TCU Removal,sca_cp_added_projects,0101000020E6100000D9A766115A7A52C0D479641D84684440,201,7
X965,78X,X,REGION 2 SUSPENSION CENTER,Electrical Systems,sca_cp_added_projects,0101000020E6100000B38DBF61737952C09002AE7F99684440,202,8
X980,9,X,P.S. 204 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E6100000D5915575757A52C05DCA25A6846C4440,205,9
M189,6,M,P.S. 189,Roofs,sca_cp_added_projects,0101000020E610000095733F28657B52C0073C6A8D306D4440,112,6
M121,4,M,P.S. 38 (OLD M121),Student Toilets,sca_cp_added_projects,0101000020E6100000565F6C2F777C52C060DA78BBF3644440,111,4
M056,1,M,J.H.S. 56,IP Digital Video Surveillance System,sca_cp_added_projects,0101000020E610000029537C8A1B7F52C05576476B4F5B4440,103,1
M056,1,M,J.H.S. 56,Classroom Connectivity,sca_cp_added_projects,0101000020E610000029537C8A1B7F52C05576476B4F5B4440,103,1
M019,1,M,P.S. 19,Student Toilets,sca_cp_added_projects,0101000020E610000014989DA9017F52C07FE3E184705D4440,103,1
M019,1,M,P.S. 19,Lighting Fixtures,sca_cp_added_projects,0101000020E610000014989DA9017F52C07FE3E184705D4440,103,1
M008,6,M,P.S. 8,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000199BCEE5F17B52C0A13914256F6B4440,112,6
M008,6,M,P.S. 8,Heating Plant Upgrade,sca_cp_advanced_projects,0101000020E6100000199BCEE5F17B52C0A13914256F6B4440,112,6
M006,2,M,P.S. 6,Lighting Fixtures,sca_cp_added_projects,0101000020E610000027AF4A76777D52C0A5BDF8AC8B634440,108,2
M028,6,M,P.S. 28,Lighting Fixtures,sca_cp_added_projects,0101000020E6100000B0E13A72497C52C0FA60F612726A4440,112,6
M488,78M,M,MIDTOWN EAST CAMPUS,IP Digital Video Surveillance System,sca_cp_added_projects,0101000020E610000008884C08D97D52C0564CEAC830614440,106,2
M488,78M,M,MIDTOWN EAST CAMPUS,Accessibility,sca_cp_added_projects,0101000020E610000008884C08D97D52C0564CEAC830614440,106,2
